"","Ensembl_ID","Gene","Frequency","Source","RNA_cell_enrichment","RNA_enriched_cell_types","RNA_tissue_enrichment","RNA_enriched_tissue_types","Protein_enrichment_tissue_type","Protein_enrichment_cell_type","Protein_enrichment_level","Tractability_sm","Tractability_ab","Tractability_PROTAC","Protein_class"
"32","ENSG00000069020","MAST4",2,"Finngen, NatGen Paper","group enriched","Endothelial cells, Fibroblasts, Cardiomyocytes, Smooth muscle cells, Proximal tubular cells","low specificity",NA,NA,NA,NA,"Predicted","Unknown","Unknown","Enzymes, Predicted intracellular proteins"
"33","ENSG00000071205","ARHGAP10",1,"Finngen","group enriched","Smooth muscle cells, Fibroblasts","group enriched","Vascular, Heart muscle",NA,NA,NA,"Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins"
"34","ENSG00000074621","SLC24A1",1,"Finngen","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Macrophages","enriched","Vascular","kidney","cells in glomeruli, collecting ducts, distal tubules, proximal tubules (cell body)","Low","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"35","ENSG00000075413","MARK3",1,"Finngen","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Predicted High","Literature","Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
"36","ENSG00000075413","MARK3",1,"Finngen","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Low","Discovery","Predicted High","Literature","Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
"37","ENSG00000075568","TMEM131",1,"NatGen Paper","group enriched","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins, Predicted membrane proteins"
"38","ENSG00000075568","TMEM131",1,"NatGen Paper","group enriched","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins, Predicted membrane proteins"
"39","ENSG00000076108","BAZ2A",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle",NA,NA,NA,"Discovery","Unknown","Discovery","Plasma proteins, Predicted intracellular proteins"
"40","ENSG00000076685","NT5C2",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Macrophages, Endothelial cells, Proximal tubular cells","enriched","Vascular","heart muscle","cardiomyocytes","Low","Discovery","Unknown","Unknown","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
"41","ENSG00000076685","NT5C2",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Macrophages, Endothelial cells, Proximal tubular cells","enriched","Vascular","kidney","cells in tubules","Low","Discovery","Unknown","Unknown","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
"42","ENSG00000078401","EDN1",1,"NatGen Paper","enriched","Endothelial cells","enriched","Vascular",NA,NA,NA,"Unknown","Predicted High","Unknown","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"
"43","ENSG00000081014","AP4E1",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
"44","ENSG00000081014","AP4E1",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","group enriched","Vascular, Heart muscle","kidney","cells in tubules","Low","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
"45","ENSG00000081052","COL4A4",1,"Genebass Primary","enriched","Fibroblasts","enriched","Vascular",NA,NA,NA,"Discovery","Clinical","Unknown","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"
"46","ENSG00000081248","CACNA1S",1,"Genebass Secondary","enriched","Smooth muscle cells","enriched","Vascular",NA,NA,NA,"Clinical","Predicted High","Unknown","Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
"47","ENSG00000082438","COBLL1",1,"Finngen","group enriched","Smooth muscle cells, Fibroblasts, Endothelial cells","enhanced","Vascular","kidney","collecting ducts, distal tubules, proximal tubules (cell body), proximal tubules (microvilli)","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"48","ENSG00000082438","COBLL1",1,"Finngen","group enriched","Smooth muscle cells, Fibroblasts, Endothelial cells","enhanced","Vascular","heart muscle","cardiomyocytes","Low","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"49","ENSG00000085276","MECOM",1,"Finngen","group enriched","Endothelial cells, Fibroblasts, Smooth muscle cells","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Unknown","Unknown","Unknown","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
"50","ENSG00000085276","MECOM",1,"Finngen","group enriched","Endothelial cells, Fibroblasts, Smooth muscle cells","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","High","Unknown","Unknown","Unknown","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
"51","ENSG00000085377","PREP",1,"KEGG RAAS","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Macrophages","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Discovery","Unknown","Discovery","Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
"52","ENSG00000085377","PREP",1,"KEGG RAAS","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Macrophages","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Unknown","Discovery","Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
"53","ENSG00000085998","POMGNT1",1,"NatGen Paper","enhanced","Fibroblasts, Cardiomyocytes, Smooth muscle cells, Endothelial cells, Proximal tubular cells","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Discovery","Predicted Medium to Low","Unknown","Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"
"54","ENSG00000085998","POMGNT1",1,"NatGen Paper","enhanced","Fibroblasts, Cardiomyocytes, Smooth muscle cells, Endothelial cells, Proximal tubular cells","low specificity",NA,"kidney","cells in tubules","Medium","Discovery","Predicted Medium to Low","Unknown","Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"
"55","ENSG00000087077","TRIP6",1,"NatGen Paper","enhanced","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Endothelial cells, Macrophages","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Predicted High","Unknown","Predicted intracellular proteins"
"56","ENSG00000087077","TRIP6",1,"NatGen Paper","enhanced","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Endothelial cells, Macrophages","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Unknown","Predicted High","Unknown","Predicted intracellular proteins"
"57","ENSG00000087087","SRRT",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Discovery","Unknown","Unknown","Predicted intracellular proteins"
"58","ENSG00000087087","SRRT",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Discovery","Unknown","Unknown","Predicted intracellular proteins"
"59","ENSG00000087460","GNAS",1,"Finngen","group enriched","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle",NA,NA,NA,"Discovery","Predicted High","Unknown","Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"60","ENSG00000087884","AAMDC",1,"NatGen Paper","group enriched","Fibroblasts, Cardiomyocytes, Proximal tubular cells, Smooth muscle cells, Endothelial cells","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"61","ENSG00000087884","AAMDC",1,"NatGen Paper","group enriched","Fibroblasts, Cardiomyocytes, Proximal tubular cells, Smooth muscle cells, Endothelial cells","low specificity",NA,"kidney","cells in tubules","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"62","ENSG00000090006","LTBP4",1,"Patsy Preprint","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular","heart muscle","cardiomyocytes","Low","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
"63","ENSG00000090006","LTBP4",1,"Patsy Preprint","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","High","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
"64","ENSG00000090316","MAEA",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Proximal tubular cells","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Predicted High","Unknown","Enzymes, Predicted intracellular proteins"
"65","ENSG00000090316","MAEA",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Proximal tubular cells","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Unknown","Predicted High","Unknown","Enzymes, Predicted intracellular proteins"
"66","ENSG00000091732","ZC3HC1",1,"Patsy Preprint","enhanced","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Endothelial cells, Cardiomyocytes","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"67","ENSG00000091732","ZC3HC1",1,"Patsy Preprint","enhanced","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Endothelial cells, Cardiomyocytes","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"68","ENSG00000092009","CMA1",1,"KEGG RAAS","enriched","T-cells","enriched","Vascular",NA,NA,NA,"Clinical","Predicted High","Unknown","Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
"69","ENSG00000095261","PSMD5",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Proximal tubular cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Plasma proteins, Predicted intracellular proteins"
"70","ENSG00000099331","MYO9B",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Macrophages, Endothelial cells, Cardiomyocytes","enriched","Vascular","heart muscle","cardiomyocytes","High","Discovery","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"71","ENSG00000099331","MYO9B",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Macrophages, Endothelial cells, Cardiomyocytes","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","High","Discovery","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"72","ENSG00000099889","ARVCF",1,"NatGen Paper","enriched","Smooth muscle cells","enriched","Vascular","heart muscle","cardiomyocytes","High","Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins"
"73","ENSG00000099889","ARVCF",1,"NatGen Paper","enriched","Smooth muscle cells","enriched","Vascular","kidney","cells in tubules","Medium","Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins"
"74","ENSG00000100330","MTMR3",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Macrophages, Endothelial cells, Proximal tubular cells","enriched","Vascular",NA,NA,NA,"Unknown","Predicted High","Unknown","Enzymes, Plasma proteins, Predicted intracellular proteins"
"75","ENSG00000100359","SGSM3",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Proximal tubular cells, Macrophages","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"76","ENSG00000100359","SGSM3",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Proximal tubular cells, Macrophages","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","High","Unknown","Unknown","Unknown","Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"77","ENSG00000100448","CTSG",1,"KEGG RAAS","enriched","T-cells","enriched","Vascular",NA,NA,NA,"Discovery","Predicted High","Unknown","Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
"78","ENSG00000100991","TRPC4AP",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","enriched","Vascular",NA,NA,NA,"Unknown","Predicted High","Unknown","Predicted intracellular proteins"
"79","ENSG00000101096","NFATC2",1,"Finngen","enhanced","Fibroblasts, Macrophages, Endothelial cells, Smooth muscle cells, T-cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Cancer-related genes, Predicted intracellular proteins, Transcription factors"
"80","ENSG00000101384","JAG1",1,"Patsy Preprint","group enriched","Smooth muscle cells, Fibroblasts, Endothelial cells, Macrophages, Cardiomyocytes","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Predicted High","Unknown","CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
"81","ENSG00000101384","JAG1",1,"Patsy Preprint","group enriched","Smooth muscle cells, Fibroblasts, Endothelial cells, Macrophages, Cardiomyocytes","enriched","Vascular","heart muscle","cardiomyocytes","Low","Discovery","Predicted High","Unknown","CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
"82","ENSG00000103275","UBE2I",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Proximal tubular cells, Cardiomyocytes","enhanced","Vascular","kidney","cells in tubules","Medium","Discovery","Unknown","Discovery","Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"
"83","ENSG00000103275","UBE2I",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Proximal tubular cells, Cardiomyocytes","enhanced","Vascular","heart muscle","cardiomyocytes","Low","Discovery","Unknown","Discovery","Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"
"84","ENSG00000104951","IL4I1",1,"Finngen","enhanced","Macrophages, Proximal tubular cells, Endothelial cells, Smooth muscle cells, Fibroblasts","group enriched","Vascular, Kidney","kidney","cells in glomeruli, collecting ducts, distal tubules","High","Predicted","Predicted High","Unknown","Enzymes, Metabolic proteins, Predicted secreted proteins"
"85","ENSG00000105329","TGFB1",1,"Patsy Preprint","enhanced","Fibroblasts, Macrophages, Smooth muscle cells, Endothelial cells, T-cells","enriched","Vascular",NA,NA,NA,NA,NA,NA,NA
"86","ENSG00000105613","MAST1",1,"Finngen","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Macrophages, Proximal tubular cells","enhanced","Vascular","kidney","cells in glomeruli","Low","Discovery","Predicted Medium to Low","Discovery","Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
"87","ENSG00000105655","ISYNA1",1,"NatGen Paper","enhanced","Smooth muscle cells, Fibroblasts, Endothelial cells, Proximal tubular cells, Macrophages","enriched","Vascular","kidney","bowman's capsule, distal tubules","High","Unknown","Unknown","Unknown","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"88","ENSG00000105726","ATP13A1",1,"Patsy Preprint","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Proximal tubular cells","enriched","Vascular",NA,NA,NA,"Unknown","Predicted Medium to Low","Unknown","Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"89","ENSG00000105793","GTPBP10",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Proximal tubular cells","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","High","Discovery","Unknown","Unknown","Predicted intracellular proteins"
"90","ENSG00000106392","C1GALT1",1,"Finngen","enriched","Fibroblasts","enhanced","Vascular","kidney","cells in glomeruli, cells in tubules","High","Unknown","Predicted Medium to Low","Unknown","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"91","ENSG00000106392","C1GALT1",1,"Finngen","enriched","Fibroblasts","enhanced","Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Predicted Medium to Low","Unknown","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"92","ENSG00000106538","RARRES2",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Proximal tubular cells, Cardiomyocytes, Endothelial cells","enriched","Vascular",NA,NA,NA,"Unknown","Predicted High","Unknown","Plasma proteins, Predicted secreted proteins"
"93","ENSG00000106617","PRKAG2",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Macrophages","group enriched","Vascular, Heart muscle",NA,NA,NA,"Discovery","Unknown","Discovery","Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
"94","ENSG00000106683","LIMK1",1,"NatGen Paper","enhanced","Fibroblasts, Macrophages, Smooth muscle cells, Endothelial cells, Proximal tubular cells","enriched","Vascular","heart muscle","cardiomyocytes","Low","Discovery","Unknown","Literature","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
